id,age,salary,dept
1,38,89494,Eng
2,58,88159,Sales
3,47,79940,Sales
4,37,62715,Sales
5,31,31798,Eng
6,27,105229,Sales
7,41,71918,Eng
8,50,88198,HR
9,44,65699,Eng
10,36,68738,HR
11,24,86465,Sales
12,31,90477,Eng
13,37,33239,Sales
14,55,95316,Eng
15,26,118064,Sales
16,59,86435,Sales
17,35,35899,Eng
18,59,106930,HR
19,56,50333,Sales
20,36,103157,HR
21,25,54973,HR
22,41,72969,HR
23,28,81792,Sales
24,29,55904,Sales
25,58,78231,HR
26,35,54459,Eng
27,41,34305,HR
28,31,72849,Eng
29,27,64303,Eng
30,28,94719,HR
31,60,118646,HR
32,30,72950,Eng
33,30,61734,HR
34,53,94934,Sales
35,42,41722,Eng
36,23,90325,Eng
37,47,112650,HR
38,31,109214,Sales
39,46,35768,Sales
40,44,116349,HR
41,37,118857,Eng
42,43,90750,Eng
43,50,80593,Eng
44,31,49628,Eng
45,46,67309,HR
46,28,38517,Eng
47,41,44404,Sales
48,22,106417,Sales
49,41,111266,Eng
50,26,31801,Sales
